"Artist","Genres"
"MontyPython","comic"
"BradMehldau","contemporary jazz"
"BradMehldau","contemporary post-bop"
"BradMehldau","cool jazz"
"BradMehldau","indie jazz"
"BradMehldau","jazz"
"BradMehldau","jazz fusion"
"BradMehldau","jazz piano"
"BradMehldau","modern jazz piano"
"<U+0423><U+0431><U+0438><U+0439><U+0446><U+044B>","Unknown"
"Skyharbor","djent"
"Skyharbor","indian metal"
"BigWild","electropop"
"BigWild","indie poptimism"
"BigWild","vapor soul"
"BigWild","vapor twitch"
"CB","Unknown"
"S3RL","australian dance"
"S3RL","bouncy house"
"S3RL","happy hardcore"
"KUURO","bass trap"
"KUURO","edm"
"KUURO","electro house"
"KUURO","gaming edm"
"KUURO","traprun"
"MKTO","dance pop"
"MKTO","pop"
"MKTO","pop rap"
"MKTO","pop rock"
"MKTO","post-teen pop"
"HI-LO","edm"
"HI-LO","electro house"
"HI-LO","house"
"HI-LO","progressive house"
"CaravanPalace","electro swing"
"CaravanPalace","nu jazz"
"TheCityofPraguePhilharmonicOrchestra","Unknown"
"MikePosner","dance pop"
"MikePosner","pop"
"MikePosner","pop rap"
"Volac","bass house"
"Volac","brazilian edm"
"Volac","deep groove house"
"Volac","electro house"
"PaulMauriat","adult standards"
"PaulMauriat","easy listening"
"Týr","Unknown"
"TheNotoriousB.I.G.","east coast hip hop"
"TheNotoriousB.I.G.","gangster rap"
"TheNotoriousB.I.G.","hardcore hip hop"
"TheNotoriousB.I.G.","hip hop"
"TheNotoriousB.I.G.","rap"
"TheBeatles","beatlesque"
"TheBeatles","british invasion"
"TheBeatles","classic rock"
"TheBeatles","merseybeat"
"TheBeatles","psychedelic rock"
"TheBeatles","rock"
"KONGOS","modern alternative rock"
"KONGOS","modern blues rock"
"KONGOS","modern rock"
"KONGOS","south african pop"
"KONGOS","south african rock"
"2Eivissa","eurodance"
"2Eivissa","europop"
"2Eivissa","hip house"
"Bicep","ambient house"
"Bicep","electronica"
"TechN9ne","hip hop"
"TechN9ne","kansas city hip hop"
"TechN9ne","pop rap"
"TechN9ne","rap"
"JOYRYDE","bass house"
"JOYRYDE","edm"
"JOYRYDE","electro house"
"JOYRYDE","electronic trap"
"JOYRYDE","house"
"DadaLife","big room"
"DadaLife","complextro"
"DadaLife","dance pop"
"DadaLife","edm"
"DadaLife","electro house"
"DadaLife","pop dance"
"DadaLife","progressive electro house"
"DadaLife","progressive house"
"PegboardNerds","brostep"
"PegboardNerds","complextro"
"PegboardNerds","danish electronic"
"PegboardNerds","edm"
"PegboardNerds","electro house"
"PegboardNerds","gaming edm"
"PegboardNerds","glitch"
"PegboardNerds","speedrun"
"JoynerLucas","boston hip hop"
"JoynerLucas","hip hop"
"JoynerLucas","pop rap"
"JoynerLucas","rap"
"DJGollum","eurodance"
"DJGollum","german dance"
"DJGollum","hands up"
"DJGollum","partyschlager"
"BonIver","eau claire indie"
"BonIver","indie folk"
"BonIver","melancholia"
"IYF","Unknown"
"SoulSecret","focus"
"SoulSecret","italian metal"
