"artistName","album","trackName","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","genres"
"JOYRYDE","BRAVE","ON FIRE","0B2ZuTLZnWQ6gz8RlNwBu1",0.759,0.825,8,-4.289,1,0.22,0.0923,0.00057,0.24,0.429,94.857,187280,4,"electronic trap"
"JOYRYDE","BRAVE","PRE OP","2jHDXNIbElEsxxPQ0EVspA",0.688,0.425,11,-6.394,0,0.0851,0.146,0,0.447,0.211,139.794,186042,4,"bass house"
"JOYRYDE","BRAVE","PRE OP","2jHDXNIbElEsxxPQ0EVspA",0.688,0.425,11,-6.394,0,0.0851,0.146,0,0.447,0.211,139.794,186042,4,"edm"
"JOYRYDE","BRAVE","PRE OP","2jHDXNIbElEsxxPQ0EVspA",0.688,0.425,11,-6.394,0,0.0851,0.146,0,0.447,0.211,139.794,186042,4,"electro house"
"JOYRYDE","BRAVE","PRE OP","2jHDXNIbElEsxxPQ0EVspA",0.688,0.425,11,-6.394,0,0.0851,0.146,0,0.447,0.211,139.794,186042,4,"electronic trap"
"JOYRYDE","BRAVE","THRILL","4wqzOaLxiCRy2Et8tRyNSX",0.817,0.775,10,-4.767,0,0.108,0.277,0,0.108,0.806,126.984,234334,4,"bass house"
"JOYRYDE","BRAVE","THRILL","4wqzOaLxiCRy2Et8tRyNSX",0.817,0.775,10,-4.767,0,0.108,0.277,0,0.108,0.806,126.984,234334,4,"edm"
"JOYRYDE","BRAVE","THRILL","4wqzOaLxiCRy2Et8tRyNSX",0.817,0.775,10,-4.767,0,0.108,0.277,0,0.108,0.806,126.984,234334,4,"electro house"
"JOYRYDE","BRAVE","THRILL","4wqzOaLxiCRy2Et8tRyNSX",0.817,0.775,10,-4.767,0,0.108,0.277,0,0.108,0.806,126.984,234334,4,"electronic trap"
"JOYRYDE","HOT DRUM","HOT DRUM","0gcPFlSLjkVqz84RcDhyJk",0.625,0.981,7,-3.799,1,0.0597,9e-04,0.329,0.357,0.156,125.008,266880,4,"bass house"
"JOYRYDE","HOT DRUM","HOT DRUM","0gcPFlSLjkVqz84RcDhyJk",0.625,0.981,7,-3.799,1,0.0597,9e-04,0.329,0.357,0.156,125.008,266880,4,"edm"
"JOYRYDE","HOT DRUM","HOT DRUM","0gcPFlSLjkVqz84RcDhyJk",0.625,0.981,7,-3.799,1,0.0597,9e-04,0.329,0.357,0.156,125.008,266880,4,"electro house"
"JOYRYDE","HOT DRUM","HOT DRUM","0gcPFlSLjkVqz84RcDhyJk",0.625,0.981,7,-3.799,1,0.0597,9e-04,0.329,0.357,0.156,125.008,266880,4,"electronic trap"
"JOYRYDE","HOWSLA","NEW BREED (feat. Darnell Williams)","0HY4ton07zj9kSKTVS0lVD",0.791,0.854,11,-5.587,0,0.109,0.0183,2.84e-06,0.385,0.183,127.044,226891,4,"bass house"
"JOYRYDE","HOWSLA","NEW BREED (feat. Darnell Williams)","0HY4ton07zj9kSKTVS0lVD",0.791,0.854,11,-5.587,0,0.109,0.0183,2.84e-06,0.385,0.183,127.044,226891,4,"edm"
"JOYRYDE","HOWSLA","NEW BREED (feat. Darnell Williams)","0HY4ton07zj9kSKTVS0lVD",0.791,0.854,11,-5.587,0,0.109,0.0183,2.84e-06,0.385,0.183,127.044,226891,4,"electro house"
"JOYRYDE","HOWSLA","NEW BREED (feat. Darnell Williams)","0HY4ton07zj9kSKTVS0lVD",0.791,0.854,11,-5.587,0,0.109,0.0183,2.84e-06,0.385,0.183,127.044,226891,4,"electronic trap"
"JOYRYDE","I WARE HOUSE","I WARE HOUSE","3THbCOOsUboMu83Ubd3sSR",0.658,0.891,6,-3.512,1,0.199,0.0259,0.0332,0.34,0.3,125.033,266880,4,"bass house"
"JOYRYDE","I WARE HOUSE","I WARE HOUSE","3THbCOOsUboMu83Ubd3sSR",0.658,0.891,6,-3.512,1,0.199,0.0259,0.0332,0.34,0.3,125.033,266880,4,"edm"
"JOYRYDE","I WARE HOUSE","I WARE HOUSE","3THbCOOsUboMu83Ubd3sSR",0.658,0.891,6,-3.512,1,0.199,0.0259,0.0332,0.34,0.3,125.033,266880,4,"electro house"
"JOYRYDE","I WARE HOUSE","I WARE HOUSE","3THbCOOsUboMu83Ubd3sSR",0.658,0.891,6,-3.512,1,0.199,0.0259,0.0332,0.34,0.3,125.033,266880,4,"electronic trap"
"JOYRYDE","IM GONE","IM GONE","6Em6BtxvTsQrXFsFVzAEym",0.253,0.676,10,-6.13,1,0.0455,0.00531,7.85e-06,0.256,0.306,180.031,185022,4,"bass house"
"JOYRYDE","IM GONE","IM GONE","6Em6BtxvTsQrXFsFVzAEym",0.253,0.676,10,-6.13,1,0.0455,0.00531,7.85e-06,0.256,0.306,180.031,185022,4,"edm"
"JOYRYDE","IM GONE","IM GONE","6Em6BtxvTsQrXFsFVzAEym",0.253,0.676,10,-6.13,1,0.0455,0.00531,7.85e-06,0.256,0.306,180.031,185022,4,"electro house"
"JOYRYDE","IM GONE","IM GONE","6Em6BtxvTsQrXFsFVzAEym",0.253,0.676,10,-6.13,1,0.0455,0.00531,7.85e-06,0.256,0.306,180.031,185022,4,"electronic trap"
"JOYRYDE","KICKIN OFF","KICKIN OFF","1czPHnIXWBuOXIlMp8W3fA",0.654,0.984,6,-2.012,1,0.316,0.00804,9.82e-06,0.386,0.0777,125.448,293760,4,"bass house"
"JOYRYDE","KICKIN OFF","KICKIN OFF","1czPHnIXWBuOXIlMp8W3fA",0.654,0.984,6,-2.012,1,0.316,0.00804,9.82e-06,0.386,0.0777,125.448,293760,4,"edm"
"JOYRYDE","KICKIN OFF","KICKIN OFF","1czPHnIXWBuOXIlMp8W3fA",0.654,0.984,6,-2.012,1,0.316,0.00804,9.82e-06,0.386,0.0777,125.448,293760,4,"electro house"
"JOYRYDE","KICKIN OFF","KICKIN OFF","1czPHnIXWBuOXIlMp8W3fA",0.654,0.984,6,-2.012,1,0.316,0.00804,9.82e-06,0.386,0.0777,125.448,293760,4,"electronic trap"
"JOYRYDE","MADDEN","MADDEN","1YjIovGnzdY2N6pr4pifl0",0.727,0.618,8,-4.283,1,0.358,0.00541,0,0.101,0.173,76.322,123936,4,"bass house"
"JOYRYDE","MADDEN","MADDEN","1YjIovGnzdY2N6pr4pifl0",0.727,0.618,8,-4.283,1,0.358,0.00541,0,0.101,0.173,76.322,123936,4,"edm"
"JOYRYDE","MADDEN","MADDEN","1YjIovGnzdY2N6pr4pifl0",0.727,0.618,8,-4.283,1,0.358,0.00541,0,0.101,0.173,76.322,123936,4,"electro house"
"JOYRYDE","MADDEN","MADDEN","1YjIovGnzdY2N6pr4pifl0",0.727,0.618,8,-4.283,1,0.358,0.00541,0,0.101,0.173,76.322,123936,4,"electronic trap"
"JOYRYDE","MAXIMUM KING","MAXIMUM KING","7D7WBjmGuF01Qjv2AMbyvS",0.704,0.99,11,-2.156,0,0.118,0.0065,0.0272,0.347,0.571,119.974,169187,4,"bass house"
"JOYRYDE","MAXIMUM KING","MAXIMUM KING","7D7WBjmGuF01Qjv2AMbyvS",0.704,0.99,11,-2.156,0,0.118,0.0065,0.0272,0.347,0.571,119.974,169187,4,"edm"
"JOYRYDE","MAXIMUM KING","MAXIMUM KING","7D7WBjmGuF01Qjv2AMbyvS",0.704,0.99,11,-2.156,0,0.118,0.0065,0.0272,0.347,0.571,119.974,169187,4,"electro house"
"JOYRYDE","MAXIMUM KING","MAXIMUM KING","7D7WBjmGuF01Qjv2AMbyvS",0.704,0.99,11,-2.156,0,0.118,0.0065,0.0272,0.347,0.571,119.974,169187,4,"electronic trap"
"JOYRYDE","SELECTA 19","SELECTA 19","1ALrTfSEogKhyzcgs8spWN",0.802,0.833,11,-3.986,0,0.339,0.00351,0.00169,0.36,0.452,132.006,250000,4,"bass house"
